JD_id,CV_id,label
4941,4941,1
4941,4412,0
4941,4829,0
4941,4500,0
4941,5255,0
4941,5002,0
4941,4377,0
4941,5110,0
4941,4737,0
4941,5189,0
4377,4377,1
4377,5002,0
4377,4737,0
4377,4829,0
4377,5110,0
4377,4500,0
4377,5255,0
4377,4479,0
4377,5027,0
4377,4941,0
4412,4412,1
4412,4912,0
4412,4622,0
4412,4829,0
4412,5317,0
4412,5189,0
4412,4737,0
4412,4941,0
4412,5242,0
4412,5027,0
5002,5002,1
5002,4388,0
5002,4326,0
5002,5317,0
5002,5027,0
5002,4941,0
5002,5189,0
5002,5255,0
5002,4412,0
5002,4571,0
4479,4479,1
4479,5242,0
4479,4941,0
4479,4287,0
4479,5002,0
4479,5110,0
4479,5255,0
4479,4412,0
4479,4829,0
4479,4326,0
5255,5255,1
5255,4388,0
5255,4500,0
5255,4326,0
5255,4737,0
5255,4912,0
5255,5110,0
5255,4622,0
5255,5317,0
5255,4571,0
4500,4500,1
4500,4479,0
4500,5317,0
4500,4388,0
4500,5255,0
4500,4326,0
4500,4571,0
4500,5110,0
4500,5189,0
4500,4829,0
4388,4388,1
4388,5317,0
4388,5189,0
4388,4479,0
4388,4941,0
4388,4287,0
4388,5255,0
4388,4912,0
4388,4377,0
4388,5002,0
4829,4829,1
4829,4326,0
4829,5317,0
4829,4571,0
4829,5242,0
4829,4388,0
4829,4287,0
4829,4737,0
4829,4479,0
4829,4912,0
5027,5027,1
5027,5242,0
5027,4388,0
5027,4737,0
5027,4622,0
5027,4326,0
5027,4500,0
5027,5110,0
5027,4377,0
5027,4412,0
4737,4737,1
4737,4829,0
4737,4941,0
4737,4571,0
4737,4287,0
4737,5027,0
4737,5242,0
4737,5255,0
4737,4326,0
4737,5189,0
5242,5242,1
5242,5002,0
5242,4287,0
5242,4737,0
5242,4829,0
5242,4622,0
5242,4326,0
5242,5027,0
5242,4412,0
5242,5110,0
4912,4912,1
4912,4829,0
4912,5317,0
4912,5110,0
4912,4377,0
4912,4412,0
4912,4388,0
4912,5027,0
4912,4941,0
4912,4500,0
5110,5110,1
5110,5255,0
5110,4912,0
5110,5189,0
5110,5242,0
5110,4388,0
5110,5027,0
5110,4377,0
5110,4500,0
5110,4622,0
4622,4622,1
4622,4941,0
4622,4326,0
4622,4829,0
4622,5110,0
4622,5189,0
4622,5027,0
4622,5317,0
4622,4571,0
4622,4377,0
4287,4287,1
4287,4388,0
4287,4941,0
4287,5317,0
4287,4412,0
4287,4737,0
4287,5110,0
4287,4500,0
4287,5189,0
4287,5255,0
4326,4326,1
4326,4622,0
4326,4912,0
4326,4737,0
4326,4388,0
4326,4571,0
4326,4412,0
4326,5027,0
4326,5110,0
4326,5189,0
5317,5317,1
5317,4388,0
5317,4326,0
5317,4287,0
5317,5027,0
5317,4479,0
5317,5242,0
5317,5002,0
5317,4622,0
5317,5189,0
4571,4571,1
4571,5027,0
4571,5002,0
4571,4622,0
4571,4829,0
4571,4737,0
4571,4326,0
4571,4941,0
4571,5242,0
4571,5189,0
5189,5189,1
5189,4571,0
5189,4622,0
5189,4500,0
5189,4412,0
5189,5242,0
5189,4479,0
5189,4941,0
5189,5317,0
5189,4737,0
