JD_id,CV_id,label
4287,4287,1
4287,4941,0
4287,4412,0
4287,5110,0
4287,4571,0
4287,4377,0
4287,4622,0
4287,4912,0
4287,5002,0
4287,4500,0
4388,4388,1
4388,4377,0
4388,5255,0
4388,4737,0
4388,4912,0
4388,5189,0
4388,4412,0
4388,5110,0
4388,4829,0
4388,5027,0
4500,4500,1
4500,5242,0
4500,5317,0
4500,5255,0
4500,4377,0
4500,4737,0
4500,4622,0
4500,4829,0
4500,4571,0
4500,5002,0
4622,4622,1
4622,4941,0
4622,4287,0
4622,4412,0
4622,4829,0
4622,5002,0
4622,4912,0
4622,4388,0
4622,5255,0
4622,4571,0
4737,4737,1
4737,5027,0
4737,5255,0
4737,4326,0
4737,4377,0
4737,5189,0
4737,5242,0
4737,4287,0
4737,4412,0
4737,4571,0
4829,4829,1
4829,4479,0
4829,5242,0
4829,4737,0
4829,5189,0
4829,4377,0
4829,5027,0
4829,4941,0
4829,5255,0
4829,4622,0
4912,4912,1
4912,5002,0
4912,4829,0
4912,4571,0
4912,4377,0
4912,4326,0
4912,5027,0
4912,5242,0
4912,5189,0
4912,4412,0
5027,5027,1
5027,4412,0
5027,5189,0
5027,4912,0
5027,4287,0
5027,4500,0
5027,5317,0
5027,5002,0
5027,4941,0
5027,4377,0
5110,5110,1
5110,4737,0
5110,4571,0
5110,4377,0
5110,4287,0
5110,5255,0
5110,4500,0
5110,4941,0
5110,5002,0
5110,4829,0
5242,5242,1
5242,5189,0
5242,4412,0
5242,4912,0
5242,4388,0
5242,4622,0
5242,4571,0
5242,5002,0
5242,4500,0
5242,4737,0
4326,4326,1
4326,5110,0
4326,4377,0
4326,4500,0
4326,4412,0
4326,5317,0
4326,5002,0
4326,4941,0
4326,4287,0
4326,5189,0
4412,4412,1
4412,4479,0
4412,4377,0
4412,5242,0
4412,4571,0
4412,5027,0
4412,4829,0
4412,4326,0
4412,5317,0
4412,5110,0
4479,4479,1
4479,4500,0
4479,4571,0
4479,5027,0
4479,4388,0
4479,4912,0
4479,4941,0
4479,5002,0
4479,5255,0
4479,4287,0
4571,4571,1
4571,4388,0
4571,4622,0
4571,4479,0
4571,4287,0
4571,5242,0
4571,5002,0
4571,5317,0
4571,4326,0
4571,5027,0
4941,4941,1
4941,4571,0
4941,4829,0
4941,4412,0
4941,4326,0
4941,5317,0
4941,5002,0
4941,4737,0
4941,4479,0
4941,4912,0
5002,5002,1
5002,4912,0
5002,4571,0
5002,5027,0
5002,4479,0
5002,5242,0
5002,4829,0
5002,4500,0
5002,4388,0
5002,4377,0
5189,5189,1
5189,5002,0
5189,4326,0
5189,4412,0
5189,4912,0
5189,5317,0
5189,4287,0
5189,5255,0
5189,4571,0
5189,5242,0
5255,5255,1
5255,4829,0
5255,4500,0
5255,5189,0
5255,5242,0
5255,4479,0
5255,4388,0
5255,4326,0
5255,4912,0
5255,5110,0
5317,5317,1
5317,4622,0
5317,4388,0
5317,5242,0
5317,4500,0
5317,4479,0
5317,4829,0
5317,4912,0
5317,4737,0
5317,4571,0
4377,4377,1
4377,5255,0
4377,5242,0
4377,5110,0
4377,5189,0
4377,4737,0
4377,4412,0
4377,4388,0
4377,4287,0
4377,4912,0
